make,price,body_type,type,doors,warranty,mileage,gearbox,fuel_type,paint,seller,seats,power,engine_size,co_emissions,drivetrain,fuel_consumption,comfort_convenience,last_service,full_service_history,non_smoker_vehicle,upholstery,previous_owner,taxi_or_rental_car,age
Mercedes-Benz,16950,Compact,Used,5,2,120200.0,Manual,diesel,Metallic,Dealer,5,81,1461,131,Front,3.8,Low,0,0,0,Cloth,0,0,6.0
Mercedes-Benz,46990,Compact,Used,5,1,18995.0,Automatic,benzine,Basic,Dealer,5,185,1991,122,4WD,7.3,Low,0,0,0,Cloth,0,0,2.0
Mercedes-Benz,16800,Compact,Used,5,1,197000.0,Automatic,diesel,Metallic,Dealer,5,125,2143,118,4WD,4.9,Low,0,0,0,Cloth,0,0,7.0
Mercedes-Benz,4690,Compact,Used,3,0,165000.0,Manual,benzine,Metallic,Dealer,4,90,1799,95,Rear,8.2,Medium,1,1,1,Cloth,0,0,17.0
Mercedes-Benz,22550,Compact,Used,5,1,83339.0,Manual,diesel,Basic,Dealer,5,90,1595,95,Rear,8.2,Medium,0,0,0,Cloth,0,0,4.0
Mercedes-Benz,26900,Compact,Used,5,2,48900.0,Automatic,benzine,Metallic,Dealer,5,185,1991,95,Front,6.1,Low,0,0,0,Cloth,0,0,3.0
Mercedes-Benz,23900,Compact,Used,5,1,21854.0,Automatic,diesel,Basic,Dealer,5,185,1991,122,Front,5.4,Low,0,0,0,Cloth,0,0,4.0
Mercedes-Benz,14200,Compact,Used,5,1,99016.0,Manual,diesel,Metallic,Dealer,5,81,1461,131,Front,3.8,Low,0,0,0,Cloth,0,0,7.0
Mercedes-Benz,37999,Compact,Used,5,1,90000.0,Automatic,benzine,Metallic,Dealer,5,185,1991,131,4WD,6.9,Low,0,0,0,Cloth,0,0,6.0
Mercedes-Benz,23999,Compact,Used,5,1,25914.0,Automatic,benzine,Basic,Dealer,5,185,1991,131,Front,6.0,Low,0,0,0,Cloth,0,0,9.0
Mercedes-Benz,24400,Compact,Used,5,1,27150.0,Manual,diesel,Metallic,Dealer,5,81,1461,118,Front,4.5,Medium,0,0,0,Leather,0,0,2.0
Mercedes-Benz,16999,Compact,Used,5,1,210000.0,Automatic,diesel,Basic,Dealer,5,125,2143,118,4WD,4.9,Low,0,0,0,Cloth,0,0,6.0
Mercedes-Benz,7450,Compact,Used,4,0,157500.0,Manual,diesel,Metallic,Dealer,5,185,1991,99,Front,5.2,Medium,0,1,1,Cloth,1,0,12.0
Mercedes-Benz,41900,Compact,Used,5,1,44000.0,Automatic,benzine,Metallic,Dealer,5,185,1991,117,4WD,7.3,Low,0,0,0,Cloth,0,0,3.0
Mercedes-Benz,29800,Compact,Used,5,1,21734.0,Automatic,diesel,Metallic,Dealer,5,81,1461,117,Front,3.9,Low,0,0,0,Cloth,0,0,2.0
Mercedes-Benz,37490,Compact,Used,5,1,81500.0,Automatic,benzine,Basic,Dealer,5,185,1991,117,4WD,6.9,Low,0,0,0,Cloth,0,0,6.0
Mercedes-Benz,21000,Compact,Used,5,1,172700.0,Automatic,diesel,Basic,Dealer,5,81,1461,117,Front,3.7,Low,0,0,0,Cloth,0,0,4.0
Mercedes-Benz,26800,Compact,Used,4,1,18989.0,Automatic,diesel,Metallic,Dealer,5,81,1461,117,Front,3.9,Low,0,0,0,Cloth,0,0,2.0
Mercedes-Benz,32950,Compact,Used,5,0,24244.0,Manual,benzine,Basic,Dealer,5,103,1332,118,Front,6.1,Low,0,0,0,Leather,0,0,3.0
Mercedes-Benz,21000,Compact,Used,5,1,172700.0,Automatic,diesel,Basic,Dealer,5,81,1461,118,Front,3.7,Low,0,0,0,Cloth,0,0,4.0
Mercedes-Benz,13999,Compact,Used,5,0,128644.0,Manual,diesel,Basic,Dealer,5,81,1461,220,4WD,3.8,Low,0,0,0,Cloth,0,0,8.0
Mercedes-Benz,29990,Compact,Used,5,1,120000.0,Automatic,benzine,Basic,Dealer,5,185,1991,220,4WD,7.1,Low,0,0,0,Cloth,0,0,8.0
Mercedes-Benz,8300,Compact,Used,4,1,71752.0,Automatic,benzine,Metallic,Dealer,5,100,2035,119,Front,7.6,Medium,0,1,1,Leather,1,0,17.0
Mercedes-Benz,32950,Compact,Used,4,0,34942.0,Automatic,benzine,Basic,Dealer,5,103,1332,118,Front,5.3,Medium,0,0,0,Cloth,0,0,2.0
Mercedes-Benz,32950,Compact,Used,5,0,20124.0,Automatic,benzine,Basic,Dealer,5,103,1332,90,Front,5.6,Medium,0,0,0,Leather,0,0,2.0
Mercedes-Benz,36900,Compact,Used,5,2,11990.0,Automatic,benzine,Basic,Dealer,5,103,1332,90,Front,1.4,Low,0,0,0,Cloth,0,0,1.0
Mercedes-Benz,29800,Compact,Used,4,1,55226.0,Manual,diesel,Basic,Dealer,5,125,2143,90,Front,4.7,Low,0,0,0,Cloth,0,0,6.0
Mercedes-Benz,18390,Compact,Used,5,1,63871.0,Automatic,benzine,Basic,Dealer,5,90,1595,90,Front,5.4,Low,0,0,0,Cloth,0,0,5.0
Mercedes-Benz,25400,Compact,Used,5,1,87700.0,Automatic,diesel,Basic,Dealer,5,81,1461,90,Front,3.9,Low,0,0,0,Cloth,0,0,4.0
Mercedes-Benz,29000,Compact,Used,5,0,45701.0,Automatic,diesel,Basic,Dealer,5,143,1950,90,Front,4.0,Low,0,0,0,Cloth,0,0,3.0
